,folder,path_audio,file,date,text,start,end
0,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,el doctor adolfo ruiz stein que había dicho que alberto se había enamorado de la cuarentena salió con las garras afilada irene gonzález garcía le pegó a rubén stein y también a macri no irá antes había dicho esto rubí este oi el gobierno ya no está enamorado sino entrampado en la cuarentena perdió credibilidad y confianza de la sociedad pero no sabe cómo salir mientras los casos sube suben carece de recursos para ofrecer alternativas entonces apela al miedo más que a la responsabilidad social yo digo esto también se le está diciendo a horacio rodríguez larreta no es cierto pero bueno insólito logre rubén le contestó ginés gonzález garcía algunos ex funcionario que realmente hicieron papel,2020-08-11 17:59:23,2020-08-11 18:00:07
1,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,muy mal o dejaron sin vacunas a la argentina si se ven ministerio de salud sin políticas de salud el doctor revista y claro pero se atreven a decir una barbaridad por hacerle caso el algunos de sus correos tomaron medidas de aperturismo masivo y eso de jujuy ejemplo bastante del año ha hecho antes para que siga siendo el año ahora pero estoy enojado con se dará cuenta por hablemos de cosas por hicieron juego macri también a alguien le importara los argentinos por eso lo que dice una cosa inconcebible que un ex presidente de ese tipo de manifestaciones cree que es responsable,2020-08-11 18:00:08,2020-08-11 18:00:53
2,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,demostrar como demostró siempre le importan tres con los argentinos durísimo durísimo quieres gonzález garcía poniendo en su lugar a uno de los peores ministro de salud que haya tenido la república argentina que decirlo con todas las letras lo dijo seis causas judiciales dejó al país sin vacunas de grado el ministerio de salud corto presupuestos asesorando a jujuy miren jujuy está hecho un desastre jujuy de verdad hoy ya hay testimonios que hablan de un colapso total del sistema sanitario a y tuvo que ver rubita y que estuvo asesorando también de mendoza que está con problemas entonces rubita debería quedarse callado la boca creo que desde el mismo gobierno de la ciudad,2020-08-11 18:00:53,2020-08-11 18:01:38
3,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,deberían pedir a rubita y que no hable más es una vergüenza lo que dice que dice pagadas porque fernán quiero no piensa como ruiz te entonces realmente hay siendo pagadas una atrás de otra rubén está siendo papelón es una vergüenza de ministro fue adolfo ruiz te tengan lo clarísimo lo que dice ginés es verdad pero bueno no vamos a meter ahora si en el debate que yo ayer le preguntaba sobre todo al ministro de salud de la provincia de murcia de daniel g holland concretamente en redes salió madrid que de una pregunta porque estábamos hablando de la ciudad y la supuesta meseta y él dijo bueno la ciudad tiene una meseta porque siempre decía igual no ha aumentado los testigos nosotros aumentamos estamos entre,2020-08-11 18:01:38,2020-08-11 18:02:23
4,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,ocho mil diez mil y la ciudad siempre desea dos mil casos entonces claros y botella siempre igual entonces que aparece como decía daniel gozan ayer aquí en este programa mira la página oficial de gestión de residentes de la ciudad de buenos aires no los laboratorios de la ciudad buenos aires pero que son de la provincia los residentes en el último mes están entre dos mil cien fíjense todas las páginas todos los informes diarios y los asientos y web ni más ni menos que no son dos mil quinientos mil ochocientos hace un mes y ya estamos a casi diez mil quiero decir que hay diferencia fuerte que estamos deseando muchísimo la provincia,2020-08-11 18:02:24,2020-08-11 18:03:08
5,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,bueno hay la verdad irrefutables y bote vas a mirar lo reporte de la ciudad de buenos aires de hace un mes y de hace dos meses es verdad lo que digo ya están siempre en dos mil casos dos mil trescientos y demás nunca aumentaron mucho más ahora que significa eso bueno frente a eso hay todo un debate sobre si de verdad al estar siempre iniciando lo mismo estas escondiendo o no y escucho opinión respetables que dicen las dos cosas y que algunos países si esto genera que vos no tenga más casos y otros dicen no porque si vos tenés dos mil siempre dos mil testigos y no te sube la positividad quiere decir que vos estás más o menos siempre con la misma cantidad de caso bueno es una polémica bien compleja bien compleja pero lo metí en esa polémica,2020-08-11 18:03:10,2020-08-11 18:03:54
6,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,inés gonzález garcía le pregunté a ver qué opina que los números son que hay un cantidad de testeo mucho mayor en la provincia capital y teniendo los niveles que tienen de cuarenta o cincuenta por ciento de personas infectadas cuando usted es claramente sustraerse máster encontramos gente en este sentido y mucho más en un lugar que tiene cuatro veces la población cinco veces la población de la ciudad la ciudad obviamente tiene muchos casos muchos asintomático y pero un número determinado de deseos y eso le da un número fijo bueno lo que está diciendo lo que está diciendo,2020-08-11 18:03:54,2020-08-11 18:04:40
7,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,el ministro de salud te está diciendo con toda claridad que si vos tenés una positividad de cuarenta o cincuenta por ciento sin duda se hace más testigos vas a encontrar más casos sin duda lo dice el ministro de salud bueno habría que ver habría que ver si de repente un día la ciudad en vez de dos mil testigos hace cuatro mil a ver como le va con los casos si es que no aumenta yo tiendo a opinar lo mismo que gire gonzález garcía por lo que he aprendido que poquísimo no tengo nada que ver con el conocimiento que tienen los médicos pero si vos tenés cuarenta o cincuenta por ciento positividad evidentemente se hace más testeo vas a tener más casos entonces con toda claridad hay agua que no cierra por qué la,2020-08-11 18:04:41,2020-08-11 18:05:25
8,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,ciudad no termina de aumentar la cantidad de casos se habla de curva madura y de meseta manteniendo siempre la misma cantidad de testeo bueno la verdad que es algo que deberá explicar la ciudad de buenos aires justo el esta semana es clave cuando vamos a ver como sigue esto y vamos a tener bastante tiempo por ello y en la mesa hablamos un poquito de que es como sigue la cuarentena desde el día lunes en adelante no vamos a meter en un aniversario hoy se cumplen un año exacto de la paso me acuerdo perfecto porque fue un triunfo histórico de la fórmula fernández fernández sobre mauricio macri y bueno y miguel ángel bichito,2020-08-11 18:05:25,2020-08-11 18:06:10
9,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,fue realmente el triunfo que cambió todo no se acuerdan el enojo de macri el castigo a la república argentina después con la devaluación bueno todo el desastre que vino pero fue un cachete caso también a los mentiroso de los medios de comunicación algunos mentiroso se acuerdan que decían que las fórmulas estaban parejas que estaban iguales que los mercados ya habían votado cuanta operación que hubo en las paso bueno fue un cachete caso a los mentirosos y un cachetadas o también al pésimo gobierno de mauricio macri la verdad fue la votación que cambió todo cambió absolutamente todo porque desde ese momento ya se supo que alberto fernández y cristina fernández de kirchner iban a ser presidente,2020-08-11 18:06:10,2020-08-11 18:06:55
10,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,ibis bueno evidentemente hay gente que no ha cerrado las heridas al cabo de un año no han cerrado las heridas y salieron los ultra los fanáticos los que lloran la derrota a hablar mira salió a hablar laura alonso que debería hablar más en la justicia que otro lado debería explicar porque tenía un celular encriptado ella la reina de la transparencia debería explicar que hizo una oficina anticorrupción porque encubrió cuestiones muy complicada del gobierno de macri porque persiguió a opositores por qué no hacia ninguna acción desde la oficina anticorrupción contra el gobierno de macri buena tantas cosas tiene que explicar la impresentable de laura alonso bien lo que hice hace un año muchos argentinos eligieron a,2020-08-11 18:06:56,2020-08-11 18:07:41
11,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,tras sismo ahora una palabra nueva que no conocía atrás sismo bueno es una una palabra que inventó laura alonso impunidad impunidad y venganza de la cleto gracia dos mil siete dos mil quince a la inepto gracia dos mil diecinueve dos mil veintitrés iphone suicidio colectivo yo quiero decirles que de verdad ahora sigo con el constituir lamentable pero quiero decirles que de verdad lo que está contando laura alonso en la mentira con la que vienen trabajando más o menos del año dos mil ocho del año dos mil ocho que vienen trabajando con la mentira vamos a hablar de juicio de viabilidad que tuvo un testimonio tremendo porque todo,2020-08-11 18:07:41,2020-08-11 18:08:26
12,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,aquello que nos vendieron todo aquello que nos vendieron laura alonso patricia bowl richie mauricio macri todo era mentira desde el asesinato de neymar que era mentira desde las los supuestos sobreprecios en el sur que ya se demostró que era mentira por supuesto toda la persecución sobre el combustibles era toda mentira el encarcelamiento de cristóbal lópez fallas de souza todo basado en pruebas falsas no había delito eran inocentes de eso tenemos pero de verdad para pasar unos días programas contándoles todas las mentiras y ahora laura alonso ya empieza con la fábrica de mentiras saber que otra y idiotez instala para engañar a la gente con la complicidad de clarín de la nación y algunos otros medios,2020-08-11 18:08:26,2020-08-11 18:09:11
13,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,uso lo de laura alonso continúa con su con su este tweet porque es interesante el fanatismo la mentira como trata de instalar y barbaridades porque hace política porque no discute los temas porque no crítica los proyectos en vez de estar instalando mentiras eslogan pavas y bueno dice vamos en dos mil veintiuno y dormir veintitrés por una opción de desarrollo y porque el desarrollo del país entonces macri se iba por una opción de desarrollo porque no colaboró laura alonso no quiera parte de ese gobierno que yo sepa mucho desarrollo no hubo auténtico progreso que tampoco hubo durante el gobierno de mauricio macri no hubo progreso el país fue para atrás,2020-08-11 18:09:12,2020-08-11 18:09:57
14,C5N,../Data/Audio/C5N/C5N2020-08-11-17-59-23.wav,C5N2020-08-11-17-59-23.wav,2020-08-11 17:59:23,empeoró en todos los indicadores posibles respeto a tu libertades bueno y a la sociedad abierta lo mismo que está pasando ahora lo mismo que está pasando ahora voy a otro impresentable de laura alonso por supuesto no esperaba menos de ella paulo coelho otro personaje insólito hace un año los argentinos vimos el primer paso hacia un abismo del cual no hemos podido salir hace seis meses que gobierna ocho meses cuando ya pero muy pocos y es un abismo el cual no podemos salir no la pandemia la invento alberto fernández hemos cometido muchos errores sin dudas si sin dudas que cometieron muchos errores sobre todo el no entre otros pero aún así estoy orgulloso de haber pertenecido al gobierno,2020-08-11 18:09:57,2020-08-11 18:10:42
